brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
sullivan,amoxicillin (as trihydrate) + clavulanic acid (as potassium clavulanate) | co-amoxiclav,DR-XY37414 | DR-XY43959,same_brand_name_has_multiple_generic_names
risek,omeprazole | omeprazole (as sodium),DR-XY28643 | DR-XY31530,same_brand_name_has_multiple_generic_names
daivobet,calcipotriol (as hydrate) + betamethasone (as dipropionate) | calcipotriol (as monohydrate) + betamethasone (as dipropionate),DR-XY28706 | DR-XY41745,same_brand_name_has_multiple_generic_names
cirok,ciprofloxacin | ciprofloxacin (as hydrochloride),DR-XY28759 | DRP-11726-01,same_brand_name_has_multiple_generic_names
cetrotide,cetrorelix (as acetate) | cetrorelix acetate,DR-XY29116 | DR-XY48790,same_brand_name_has_multiple_generic_names
nazaclir,paracetamol +phenylephrine hydrochloride + chlorphenamine maleate | phenylephrine hydrochloride + brompheniramine maleate | phenylpropanolamine hydrochloride + brompheniramine maleate,DR-XY29195 | DR-XY38961 | DRP-329-01,same_brand_name_has_multiple_generic_names
no-drowse decolgen,paracetamol + phenylephrine hydrochloride | phenylpropanolamine hydrochloride + paracetamol,DR-XY42877 | DR-XY46285,same_brand_name_has_multiple_generic_names
myra e,d-alpha tocopherol | d-alpha tocopherol (vitamin e),DR-XY29743 | DR-XY47019,same_brand_name_has_multiple_generic_names
zyrrigin,cetirizine (as dihydrochloride) | cetirizine hydrochloride,DR-XY29378 | DR-XY31796,same_brand_name_has_multiple_generic_names
momate,mometasone furoate | mometasone furoate (as monohydrate),DR-XY30243 | DR-XY45503,same_brand_name_has_multiple_generic_names
dactorubin,doxorubicin (as hydrochloride) | doxorubicin hydrochloride,DRP-10196 | DRP-10197,same_brand_name_has_multiple_generic_names
liothyl,metoclopramide (as hydrochloride) | metoclopramide hydrochloride,DR-XY30184 | DRP-16387,same_brand_name_has_multiple_generic_names
omepron,omeprazole | omeprazole (as sodium) | omeprazole sodium,DR-XY30333 | DRP-11754 | DRP-9983,same_brand_name_has_multiple_generic_names
pred 20,prednisolone | prednisone,DR-XY30359 | DR-XY38895,same_brand_name_has_multiple_generic_names
silgram,ampicillin (as sodium) + sulbactam (as sodium) | sultamicillin (as tosylate),DR-XY36108 | DR-XY38438,same_brand_name_has_multiple_generic_names
sulbacin,ampicillin (as sodium) + sulbactam (as sodium) | ampicillin sodium + sulbactam sodium,DRP-1556 | DRP-2337,same_brand_name_has_multiple_generic_names
tropicee plus,ascorbic acid + taurine + lysine hydrochloride | ascorbic acid + taurine + lysine monohydrochloride,DR-XY30499 | DR-XY30551,same_brand_name_has_multiple_generic_names
terclovir,aciclovir | acyclovir,DR-XY31054 | DR-XY31055,same_brand_name_has_multiple_generic_names
