Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Xeljanz (Brand),Xenazine (Brand),Brand-to-Brand,0.7705,5,75%
Reclast (Brand),Restasis (Brand),Brand-to-Brand,0.7705,4,75%
Tri-Sprintec (Brand),terlipressin (Generic),Brand-to-Generic,0.7705,8,75%
pilocarpine hydrochloride (Generic),Polocaine-Mpf (Brand),Generic-to-Brand,0.7705,6,75%
pilocarpine hydrochloride (Generic),paliperidone (Generic),Generic-to-Generic,0.7705,7,75%
Pralidoxime Chloride (Brand),pomalidomide (Generic),Brand-to-Generic,0.7705,4,75%
apalsutamide (Generic),agalsidase beta (Generic),Generic-to-Generic,0.7705,9,75%
Carboprost Tromethamine (Brand),travoprost intracameral (Generic),Brand-to-Generic,0.7705,15,75%
Norvasc (Brand),Norpramin (Brand),Brand-to-Brand,0.7704,5,75%
Norvasc (Brand),Norpramin (Brand),Brand-to-Brand,0.7704,5,75%
Tavneos (Brand),Tavalisse (Brand),Brand-to-Brand,0.7704,5,75%
Carbzah (Brand),Cartia Xt (Brand),Brand-to-Brand,0.7704,5,75%
Revonto (Brand),revumenib (Generic),Brand-to-Generic,0.7704,5,75%
Tivicay (Brand),tivozanib (Generic),Brand-to-Generic,0.7704,5,75%
Procrit (Brand),Proglycem (Brand),Brand-to-Brand,0.7704,6,75%
Proscar (Brand),Proglycem (Brand),Brand-to-Brand,0.7704,5,75%
Synalar (Brand),Synthroid (Brand),Brand-to-Brand,0.7704,6,75%
Corvert (Brand),Cordarone (Brand),Brand-to-Brand,0.7704,5,75%
Marplan (Brand),maraviroc (Generic),Brand-to-Generic,0.7704,6,75%
Marplan (Brand),maribavir (Generic),Brand-to-Generic,0.7704,5,75%
Tolsura (Brand),tolcapone (Generic),Brand-to-Generic,0.7704,6,75%
Adasuve (Brand),adagrasib (Generic),Brand-to-Generic,0.7704,6,75%
Nora Be (Brand),Norpramin (Brand),Brand-to-Brand,0.7704,5,75%
Tri-Mili (Brand),triazolam (Generic),Brand-to-Generic,0.7704,5,75%
Tri-Mili (Brand),trientine hydrochloride (Generic),Brand-to-Generic,0.7704,5,75%
Ibrance (Brand),ibrutinib (Generic),Brand-to-Generic,0.7704,5,75%
Feldene (Brand),felbamate (Generic),Brand-to-Generic,0.7704,5,75%
sodium oxybate (Generic),oxycodone (Generic),Generic-to-Generic,0.7704,5,75%
sodium oxybate (Generic),oxycodone hydrochloride (Generic),Generic-to-Generic,0.7704,5,75%
Nexavar (Brand),Nexterone (Brand),Brand-to-Brand,0.7704,6,75%
Nexavar (Brand),Nexplanon (Brand),Brand-to-Brand,0.7704,5,75%
Topamax (Brand),topotecan (Generic),Brand-to-Generic,0.7704,5,75%
Topamax (Brand),topotecan hydrochloride (Generic),Brand-to-Generic,0.7704,5,75%
Altreno (Brand),alteplase (Generic),Brand-to-Generic,0.7704,6,75%
Valcyte (Brand),valsartan (Generic),Brand-to-Generic,0.7704,5,75%
Valcyte (Brand),valsartan (Generic),Brand-to-Generic,0.7704,5,75%
Verquvo (Brand),Versacloz (Brand),Brand-to-Brand,0.7704,5,75%
Belbuca (Brand),belatacept (Generic),Brand-to-Generic,0.77,6,75%
Contepo (Brand),conivaptan hydrochloride (Generic),Brand-to-Generic,0.77,6,75%
Trexall (Brand),treosulfan (Generic),Brand-to-Generic,0.77,6,100%
Tri-Mili (Brand),Trintellix (Brand),Brand-to-Brand,0.77,5,75%
Benicar (Brand),Benzamycin (Brand),Brand-to-Brand,0.77,6,75%
Nexavar (Brand),Nexviazyme (Brand),Brand-to-Brand,0.77,6,75%
Lonsurf (Brand),lonafarnib (Generic),Brand-to-Generic,0.77,6,75%
desloratadine (Generic),dexlansoprazole (Generic),Generic-to-Generic,0.7696,10,75%
Prelone (Brand),Pred Mild (Brand),Brand-to-Brand,0.7694,6,75%
Prelone (Brand),Pred Mild (Brand),Brand-to-Brand,0.7694,6,75%
aficamten (Generic),afatinib oral (Generic),Generic-to-Generic,0.7692,10,75%
Brinsupri (Brand),brimonidine tartrate (Generic),Brand-to-Generic,0.769,7,75%
Carbidopa (Brand),carfilzomib (Generic),Brand-to-Generic,0.769,6,75%
Carbidopa (Brand),Carnitor Sf (Brand),Brand-to-Brand,0.769,6,75%
Carbidopa (Brand),carfilzomib (Generic),Brand-to-Generic,0.769,6,75%
Carbidopa (Brand),Carnitor Sf (Brand),Brand-to-Brand,0.769,6,75%
cefotetan (Generic),ceftazidime (Generic),Generic-to-Generic,0.769,8,75%
doxazosin mesylate (Generic),doxycycline (Generic),Generic-to-Generic,0.769,6,100%
flutamide (Generic),fluconazole (Generic),Generic-to-Generic,0.769,6,75%
Pramosone (Brand),pravastatin (Generic),Brand-to-Generic,0.769,7,75%
Pramosone (Brand),pravastatin calcium (Generic),Brand-to-Generic,0.769,7,75%
linezolid (Generic),linagliptin (Generic),Generic-to-Generic,0.769,7,100%
Trileptal (Brand),Tri-Sprintec (Brand),Brand-to-Brand,0.769,7,75%
Stimufend (Brand),stiripentol (Generic),Brand-to-Generic,0.769,6,75%
prasugrel hydrochloride (Generic),pralsetinib (Generic),Generic-to-Generic,0.769,7,75%
risdiplam (Generic),risedronate sodium (Generic),Generic-to-Generic,0.769,6,75%
Suprax (Brand),suvorexant (Generic),Brand-to-Generic,0.7689,6,100%
Clomid (Brand),Clinolipid (Brand),Brand-to-Brand,0.7689,5,75%
Plavix (Brand),plerixafor (Generic),Brand-to-Generic,0.7689,6,75%
Atarax (Brand),atrasentan (Generic),Brand-to-Generic,0.7689,6,100%
Atarax (Brand),atrasentan (Generic),Brand-to-Generic,0.7689,6,100%
Leqvio (Brand),leucovorin calcium (Generic),Brand-to-Generic,0.7689,6,75%
Ativan (Brand),atazanavir (Generic),Brand-to-Generic,0.7689,6,75%
Sutent (Brand),sufentanil hydrochloride (Generic),Brand-to-Generic,0.7689,5,75%
Gattex (Brand),gadoxetate sodium (Generic),Brand-to-Generic,0.7689,6,75%
Clindesse (Brand),Clinolipid (Brand),Brand-to-Brand,0.7689,6,75%
Cardamyst (Brand),Cardene Iv (Brand),Brand-to-Brand,0.7689,6,100%
fostemsavir promethazine (Generic),fosdenopterin hydrobromide (Generic),Generic-to-Generic,0.7688,18,100%
Ayvakit (Brand),Avastin (Brand),Brand-to-Brand,0.7686,4,100%
Azasite (Brand),Avastin (Brand),Brand-to-Brand,0.7686,4,75%
Carbzah (Brand),Cyramza (Brand),Brand-to-Brand,0.7686,4,75%
Vyscoxa (Brand),Voyxact (Brand),Brand-to-Brand,0.7686,6,75%
Sprycel (Brand),Syprine (Brand),Brand-to-Brand,0.7686,4,75%
doxepin hydrochloride (Generic),Desoxyn (Brand),Generic-to-Brand,0.7686,5,75%
Veletri (Brand),Valtrex (Brand),Brand-to-Brand,0.7686,4,100%
Effient (Brand),Evenity (Brand),Brand-to-Brand,0.7686,5,100%
Dexedrine Spansule (Brand),dexchlorpheniramine maleate (Generic),Brand-to-Generic,0.7686,13,75%
neratinib (Generic),mirdametinib (Generic),Generic-to-Generic,0.7685,5,75%
pegvisomant (Generic),pegulicianine (Generic),Generic-to-Generic,0.7683,8,75%
metreleptin (Generic),metronidazole (Generic),Generic-to-Generic,0.7681,9,75%
tetrofosmin (Generic),tetrabenazine (Generic),Generic-to-Generic,0.7681,7,100%
allopurinol (Generic),alprostadil (Generic),Generic-to-Generic,0.768,8,100%
linagliptin (Generic),liraglutide (Generic),Generic-to-Generic,0.768,5,75%
Tri-Sprintec (Brand),tradipitant (Generic),Brand-to-Generic,0.768,8,75%
trabectedin (Generic),trofinetide (Generic),Generic-to-Generic,0.768,8,75%
vemurafenib (Generic),venlafaxine hydrochloride (Generic),Generic-to-Generic,0.768,7,75%
vimseltinib (Generic),vinblastine sulfate (Generic),Generic-to-Generic,0.768,7,75%
canakinumab (Generic),Canagliflozin (Brand),Generic-to-Brand,0.7678,8,75%
Pacerone (Brand),pasireotide (Generic),Brand-to-Generic,0.7677,6,75%
Trisenox (Brand),Trokendi Xr (Brand),Brand-to-Brand,0.7677,6,100%
Trisenox (Brand),trofinetide (Generic),Brand-to-Generic,0.7677,7,75%
Apretude (Brand),Apalutamide (Brand),Brand-to-Brand,0.7677,6,75%
Catapres (Brand),cariprazine (Generic),Brand-to-Generic,0.7677,7,75%
Catapres (Brand),cariprazine (Generic),Brand-to-Generic,0.7677,7,75%
Premarin (Brand),Primaxin Iv (Brand),Brand-to-Brand,0.7677,5,75%
Intropin (Brand),Innopran Xl (Brand),Brand-to-Brand,0.7677,7,75%
doxapram hydrochloride (Generic),dostarlimab (Generic),Generic-to-Generic,0.7677,7,75%
Ensacove (Brand),encorafenib (Generic),Brand-to-Generic,0.7677,8,75%
Premarin (Brand),Primaxin Iv (Brand),Brand-to-Brand,0.7677,5,75%
Prilosec (Brand),Pralidoxime Chloride (Brand),Brand-to-Brand,0.7677,7,75%
Abraxane (Brand),abiraterone acetate (Generic),Brand-to-Generic,0.7677,5,75%
Brynovin (Brand),brimonidine tartrate (Generic),Brand-to-Generic,0.7677,6,75%
Tezspire (Brand),tesamorelin (Generic),Brand-to-Generic,0.7677,7,75%
tofersen (Generic),tovorafenib (Generic),Generic-to-Generic,0.7677,6,75%
Eprontia (Brand),eptinezumab (Generic),Brand-to-Generic,0.7677,7,75%
alosetron hydrochloride (Generic),alendronate sodium (Generic),Generic-to-Generic,0.7676,7,75%
Carbidopa (Brand),cannabidiol (Generic),Brand-to-Generic,0.7676,6,75%
Carbidopa (Brand),cannabidiol (Generic),Brand-to-Generic,0.7676,6,75%
Premarin (Brand),peramivir (Generic),Brand-to-Generic,0.7673,5,75%
Premarin (Brand),peramivir (Generic),Brand-to-Generic,0.7673,5,75%
carbamazepine (Generic),Carbidopa-Levodopa (Brand),Generic-to-Brand,0.7672,11,75%
Xerese (Brand),Xerava (Brand),Brand-to-Brand,0.7667,3,75%
Valnac (Brand),Valium (Brand),Brand-to-Brand,0.7667,3,75%
Oracea (Brand),Oraqix (Brand),Brand-to-Brand,0.7667,3,75%
Epipen (Brand),Epivir (Brand),Brand-to-Brand,0.7667,3,75%
Daypro (Brand),Daybue (Brand),Brand-to-Brand,0.7667,3,75%
Lumizyme (Brand),Lumoxiti (Brand),Brand-to-Brand,0.7667,5,75%
Arikayce (Brand),Aristada (Brand),Brand-to-Brand,0.7667,5,75%
Arimidex (Brand),Aristada (Brand),Brand-to-Brand,0.7667,5,75%
apixaban (Generic),aprepitant (Generic),Generic-to-Generic,0.7667,6,75%
Trisenox (Brand),Triacin-C (Brand),Brand-to-Brand,0.7667,5,100%
avacopan (Generic),avanafil (Generic),Generic-to-Generic,0.7667,5,75%
Orladeyo (Brand),orlistat (Generic),Brand-to-Generic,0.7667,5,75%
Zinplava (Brand),Zinbryta (Brand),Brand-to-Brand,0.7667,4,75%
Carbaglu (Brand),Carafate (Brand),Brand-to-Brand,0.7667,5,75%
Sympazan (Brand),Symbravo (Brand),Brand-to-Brand,0.7667,5,75%
Clozaril (Brand),cladribine (Generic),Brand-to-Generic,0.7667,7,75%
Procysbi (Brand),Promacta (Brand),Brand-to-Brand,0.7667,5,75%
Procysbi (Brand),Prohance (Brand),Brand-to-Brand,0.7667,5,75%
Procysbi (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.7667,6,75%
Precedex (Brand),Prepidil (Brand),Brand-to-Brand,0.7667,4,75%
Prepidil (Brand),Prevymis (Brand),Brand-to-Brand,0.7667,4,75%
Gamifant (Brand),gabapentin (Generic),Brand-to-Generic,0.7667,6,75%
Braftovi (Brand),Bravelle (Brand),Brand-to-Brand,0.7667,5,75%
Braftovi (Brand),brigatinib (Generic),Brand-to-Generic,0.7667,6,75%
Spravato (Brand),Sprintec (Brand),Brand-to-Brand,0.7667,5,75%
Pre-Op Ii (Brand),Prevacid (Brand),Brand-to-Brand,0.7667,4,75%
Pre-Op Ii (Brand),Prevymis (Brand),Brand-to-Brand,0.7667,4,75%
Takhzyro (Brand),tazarotene (Generic),Brand-to-Generic,0.7667,7,75%
Carnitor (Brand),Carafate (Brand),Brand-to-Brand,0.7667,5,75%
Inveltys (Brand),inavolisib (Generic),Brand-to-Generic,0.7667,6,100%
Methylin (Brand),mesalamine (Generic),Brand-to-Generic,0.7667,6,75%
Danyelza (Brand),daclizumab (Generic),Brand-to-Generic,0.7667,7,75%
Cryselle (Brand),crofelemer (Generic),Brand-to-Generic,0.7667,5,75%
orlistat (Generic),Orlynvah (Brand),Generic-to-Brand,0.7667,4,75%
Zelvysia (Brand),Zelboraf (Brand),Brand-to-Brand,0.7667,5,75%
Enspryng (Brand),enoxaparin sodium (Generic),Brand-to-Generic,0.7667,6,100%
Anectine (Brand),anagrelide hydrochloride (Generic),Brand-to-Generic,0.7667,6,75%
Tobradex (Brand),topiramate (Generic),Brand-to-Generic,0.7667,6,75%
Vigpoder (Brand),vismodegib (Generic),Brand-to-Generic,0.7667,5,75%
atogepant (Generic),atorvastatin calcium (Generic),Generic-to-Generic,0.7667,8,75%
capsaicin (Generic),caplacizumab (Generic),Generic-to-Generic,0.7667,7,75%
droxidopa (Generic),drospirenone (Generic),Generic-to-Generic,0.7667,7,75%
etoposide (Generic),etonogestrel (Generic),Generic-to-Generic,0.7667,6,75%
etoposide phosphate (Generic),etonogestrel (Generic),Generic-to-Generic,0.7667,6,75%
foscarnet sodium (Generic),fosphenytoin sodium (Generic),Generic-to-Generic,0.7667,7,75%
foscarnet sodium (Generic),fostamatinib (Generic),Generic-to-Generic,0.7667,7,75%
Deltasone (Brand),delgocitinib (Generic),Brand-to-Generic,0.7667,8,75%
Triptodur (Brand),trifluridine (Generic),Brand-to-Generic,0.7667,8,75%
Venclexta (Brand),Ventolin Hfa (Brand),Brand-to-Brand,0.7667,7,75%
alprazolam (Generic),Alphagan P (Brand),Generic-to-Brand,0.7667,6,75%
anagrelide hydrochloride (Generic),Anaprox Ds (Brand),Generic-to-Brand,0.7667,5,75%
Butalbital (Brand),butenafine hydrochloride (Generic),Brand-to-Generic,0.7667,7,75%
concizumab (Generic),Conjugated (Brand),Generic-to-Brand,0.7667,7,100%
crofelemer (Generic),crovalimab (Generic),Generic-to-Generic,0.7667,5,100%
paclitaxel (Generic),pacritinib (Generic),Generic-to-Generic,0.7667,5,75%
trametinib (Generic),Travatan Z (Brand),Generic-to-Brand,0.7667,5,75%
Glucotrol Xl (Brand),glucarpidase (Generic),Brand-to-Generic,0.7667,8,75%
Procardia Xl (Brand),Premarin Vaginal (Brand),Brand-to-Brand,0.7667,10,75%
Tri-Estarylla (Brand),triheptanoin (Generic),Brand-to-Generic,0.7667,7,75%
mechlorethamine hydrochloride (Generic),dichlorphenamide (Generic),Generic-to-Generic,0.7667,7,75%
Evomela (Brand),everolimus (Generic),Brand-to-Generic,0.7663,7,75%
apremilast (Generic),aprocitentan (Generic),Generic-to-Generic,0.7661,7,75%
fenoprofen calcium (Generic),fenfluramine (Generic),Generic-to-Generic,0.7661,7,75%
apalsutamide (Generic),abaloparatide (Generic),Generic-to-Generic,0.766,6,75%
phentolamine mesylate (Generic),penicillamine (Generic),Generic-to-Generic,0.766,5,75%
abrocitinib (Generic),aprocitentan (Generic),Generic-to-Generic,0.7659,5,100%
Zimhi (Brand),Ziihera (Brand),Brand-to-Brand,0.7657,4,75%
Creon (Brand),Crinone (Brand),Brand-to-Brand,0.7657,3,75%
amifostine (Generic),amphotericin b (Generic),Generic-to-Generic,0.7657,9,75%
amlodipine (Generic),amphotericin b (Generic),Generic-to-Generic,0.7657,8,75%
amlodipine besylate (Generic),amphotericin b (Generic),Generic-to-Generic,0.7657,8,75%
prednisone (Generic),Pryidostigmine Bromide (Brand),Generic-to-Brand,0.7657,8,75%
erythropoietin (Generic),thyrotropin alfa (Generic),Generic-to-Generic,0.7657,12,75%
levonorgestrel (Generic),levomilnacipran hydrochloride (Generic),Generic-to-Generic,0.7657,10,75%
Targretin (Brand),treprostinil (Generic),Brand-to-Generic,0.7655,7,75%
Pramosone (Brand),palonosetron (Generic),Brand-to-Generic,0.7655,8,75%
ritonavir (Generic),Retin-A Micro (Brand),Generic-to-Brand,0.7655,6,75%
Sclerosol (Brand),solriamfetol (Generic),Brand-to-Generic,0.7655,8,75%
chlorthalidone (Generic),clonidine hydrochloride oral (Generic),Generic-to-Generic,0.7654,11,75%
canakinumab (Generic),crizanlizumab (Generic),Generic-to-Generic,0.7653,6,75%
halcinonide (Generic),hyaluronidase (Generic),Generic-to-Generic,0.7653,6,75%
Amjevita (Brand),Camcevi Etm (Brand),Brand-to-Brand,0.7652,5,75%
Aristada (Brand),marstacimab (Generic),Brand-to-Generic,0.7652,6,75%
Gamifant (Brand),amivantamab (Generic),Brand-to-Generic,0.7652,6,75%
Retacrit (Brand),ethacrynate sodium (Generic),Brand-to-Generic,0.7652,6,75%
Nicotrol (Brand),icotrokinra (Generic),Brand-to-Generic,0.7652,6,75%
Micardis (Brand),nicardipine hydrochloride (Generic),Brand-to-Generic,0.7652,5,75%
methoxsalen (Generic),metoclopramide hydrochloride (Generic),Generic-to-Generic,0.7652,9,100%
metreleptin (Generic),metoclopramide hydrochloride (Generic),Generic-to-Generic,0.7652,8,75%
Kuvan (Brand),Kanuma (Brand),Brand-to-Brand,0.765,4,75%
dantrolene sodium (Generic),donidalorsen (Generic),Generic-to-Generic,0.765,8,75%
doravirine (Generic),daridorexant (Generic),Generic-to-Generic,0.765,8,75%
lanreotide acetate (Generic),lenalidomide (Generic),Generic-to-Generic,0.765,6,75%
dexlansoprazole (Generic),dexchlorpheniramine maleate (Generic),Generic-to-Generic,0.765,12,75%
Velcade (Brand),vilazodone hydrochloride (Generic),Brand-to-Generic,0.7643,6,100%
Cefotan (Brand),crotamiton (Generic),Brand-to-Generic,0.7643,6,75%
Avodart (Brand),amiodarone hydrochloride (Generic),Brand-to-Generic,0.7643,5,75%
Vytorin (Brand),vutrisiran (Generic),Brand-to-Generic,0.7643,6,75%
Inrebic (Brand),idarubicin hydrochloride (Generic),Brand-to-Generic,0.7643,5,75%
Cholbam (Brand),cenobamate (Generic),Brand-to-Generic,0.7643,6,75%
Campath (Brand),cenobamate (Generic),Brand-to-Generic,0.7643,6,75%
Balziva (Brand),belzutifan (Generic),Brand-to-Generic,0.7643,5,75%
Cyonanz (Brand),clonazepam (Generic),Brand-to-Generic,0.7643,6,75%
Priftin (Brand),paroxetine (Generic),Brand-to-Generic,0.7643,5,75%
Priftin (Brand),paroxetine hydrochloride (Generic),Brand-to-Generic,0.7643,5,75%
Priftin (Brand),perflutren (Generic),Brand-to-Generic,0.7643,6,75%
Priftin (Brand),permethrin (Generic),Brand-to-Generic,0.7643,5,75%
Tyzavan (Brand),telavancin (Generic),Brand-to-Generic,0.7643,5,75%
Tyzavan (Brand),telavancin hydrochloride (Generic),Brand-to-Generic,0.7643,5,75%
Epclusa (Brand),eliglustat (Generic),Brand-to-Generic,0.7643,5,75%
erenumab (Generic),fremanezumab (Generic),Generic-to-Generic,0.7639,5,75%
ethosuximide (Generic),ethiodized oil (Generic),Generic-to-Generic,0.7639,10,75%
levalbuterol tartrate (Generic),levoleucovorin (Generic),Generic-to-Generic,0.7639,8,75%
eltrombopag dopamine (Generic),eletriptan hydrobromide (Generic),Generic-to-Generic,0.7639,14,100%
Prezcobix (Brand),Pred Forte (Brand),Brand-to-Brand,0.7638,6,75%
Prezcobix (Brand),Pred Forte (Brand),Brand-to-Brand,0.7638,6,75%
evinacumab (Generic),evolocumab (Generic),Generic-to-Generic,0.7638,3,75%
trametinib (Generic),Trintellix (Brand),Generic-to-Brand,0.7638,7,100%
sincalide (Generic),semaglutide (Generic),Generic-to-Generic,0.7636,6,100%
torsemide (Generic),tirzepatide (Generic),Generic-to-Generic,0.7636,5,75%
ocrelizumab (Generic),ocriplasmin (Generic),Generic-to-Generic,0.7636,7,75%
Colazal (Brand),olsalazine sodium (Generic),Brand-to-Generic,0.7635,7,75%
Epsolay (Brand),spesolimab (Generic),Brand-to-Generic,0.7635,5,75%
Halaven (Brand),telavancin (Generic),Brand-to-Generic,0.7635,6,75%
Halaven (Brand),telavancin hydrochloride (Generic),Brand-to-Generic,0.7635,6,75%
Levolet (Brand),Vivelle-Dot (Brand),Brand-to-Brand,0.7635,6,75%
Ponstel (Brand),Constulose (Brand),Brand-to-Brand,0.7635,5,75%
Minocin (Brand),Lincomycin (Brand),Brand-to-Brand,0.7635,4,75%
Minocin (Brand),Lincomycin (Brand),Brand-to-Brand,0.7635,4,75%
Ponvory (Brand),vonoprazan fumarate (Generic),Brand-to-Generic,0.7635,7,75%
Ciclopirox Olamine (Brand),cyclosporine ophthalmic solution (Generic),Brand-to-Generic,0.7634,11,75%
Sandostatin Lar Depot (Brand),sertaconazole nitrate (Generic),Brand-to-Generic,0.7634,18,75%
Kengreal (Brand),anagrelide hydrochloride (Generic),Brand-to-Generic,0.7631,7,75%
Vaprisol (Brand),Apresoline (Brand),Brand-to-Brand,0.7631,5,75%
Elrexfio (Brand),plerixafor (Generic),Brand-to-Generic,0.7631,6,75%
Androgel (Brand),dantrolene sodium (Generic),Brand-to-Generic,0.7631,5,75%
Tryvio (Brand),Triptodur (Brand),Brand-to-Brand,0.763,6,75%
Mentax (Brand),Methadose (Brand),Brand-to-Brand,0.763,6,75%
Clobex (Brand),Cleviprex (Brand),Brand-to-Brand,0.763,5,75%
Clomid (Brand),Clindesse (Brand),Brand-to-Brand,0.763,7,100%
Erelzi (Brand),erlotinib (Generic),Brand-to-Generic,0.763,6,75%
Endari (Brand),entecavir (Generic),Brand-to-Generic,0.763,5,75%
Amzeeq (Brand),Amnesteem (Brand),Brand-to-Brand,0.763,5,75%
Opdivo (Brand),opicapone (Generic),Brand-to-Generic,0.763,6,75%
Invega (Brand),Inflectra (Brand),Brand-to-Brand,0.763,5,75%
Aredia (Brand),articaine hydrochloride (Generic),Brand-to-Generic,0.763,6,75%
Acthar (Brand),Acetadote (Brand),Brand-to-Brand,0.763,6,75%
Acthar (Brand),Acular Ls (Brand),Brand-to-Brand,0.763,5,75%
Tadliq (Brand),Tavalisse (Brand),Brand-to-Brand,0.763,5,75%
Testim (Brand),tepotinib hydrochloride (Generic),Brand-to-Generic,0.763,5,75%
Azmiro (Brand),aztreonam (Generic),Brand-to-Generic,0.763,6,75%
Tivdak (Brand),Tindazole (Brand),Brand-to-Brand,0.763,5,75%
Tobrex (Brand),Toprol Xl (Brand),Brand-to-Brand,0.763,5,75%
Tasmar (Brand),tapinarof (Generic),Brand-to-Generic,0.763,5,75%
Imjudo (Brand),imiquimod (Generic),Brand-to-Generic,0.763,5,75%
alectinib hydrochloride (Generic),alosetron hydrochloride (Generic),Generic-to-Generic,0.763,7,100%
Epidiolex (Brand),ephedrine sulfate (Generic),Brand-to-Generic,0.763,6,75%
Tri-Lo-Mili (Brand),tretinoin (Generic),Brand-to-Generic,0.763,6,75%
Hemangeol (Brand),Hernexeos (Brand),Brand-to-Brand,0.763,5,75%
tiopronin (Generic),tivozanib (Generic),Generic-to-Generic,0.763,5,75%
trazodone hydrochloride (Generic),triazolam (Generic),Generic-to-Generic,0.763,5,75%
Eltrombopag Olamine (Brand),eletriptan hydrobromide (Generic),Brand-to-Generic,0.763,15,100%
ublituximab (Generic),obiltoxaximab (Generic),Generic-to-Generic,0.7628,6,75%
sildenafil citrate (Generic),solifenacin succiate (Generic),Generic-to-Generic,0.7623,10,75%
Nexobrid (Brand),Nexterone (Brand),Brand-to-Brand,0.7621,5,75%
Tranxene (Brand),Tradjenta (Brand),Brand-to-Brand,0.7621,4,75%
Triacin-C (Brand),Triesence (Brand),Brand-to-Brand,0.7621,4,100%
Procysbi (Brand),Proglycem (Brand),Brand-to-Brand,0.7621,5,75%
Tafinlar (Brand),tafamidis (Generic),Brand-to-Generic,0.7621,6,75%
Prepidil (Brand),Prevalite (Brand),Brand-to-Brand,0.7621,5,75%
Prohance (Brand),Proleukin (Brand),Brand-to-Brand,0.7621,6,75%
Dilaudid (Brand),diltiazem hydrochloride (Generic),Brand-to-Generic,0.7621,6,75%
Besponsa (Brand),Besivance (Brand),Brand-to-Brand,0.7621,5,100%
Revlimid (Brand),revumenib (Generic),Brand-to-Generic,0.7621,5,75%
Galafold (Brand),Gallifrey (Brand),Brand-to-Brand,0.7621,5,75%
Cellcept (Brand),celecoxib (Generic),Brand-to-Generic,0.7621,5,75%
Cellcept (Brand),celecoxib (Generic),Brand-to-Generic,0.7621,5,75%
tramadol hydrochloride (Generic),trazodone hydrochloride (Generic),Generic-to-Generic,0.7621,4,75%
nitazoxanide (Generic),nitroglycerin (Generic),Generic-to-Generic,0.7618,10,75%
obinutuzumab (Generic),obiltoxaximab (Generic),Generic-to-Generic,0.7618,7,75%
carmustine (Generic),Cardizem Cd (Brand),Generic-to-Brand,0.7617,8,75%
carmustine (Generic),Cardizem La (Brand),Generic-to-Brand,0.7617,8,75%
carmustine (Generic),Carnitor Sf (Brand),Generic-to-Brand,0.7617,8,75%
carvedilol (Generic),carboplatin (Generic),Generic-to-Generic,0.7617,8,75%
carvedilol phosphate (Generic),carboplatin (Generic),Generic-to-Generic,0.7617,8,75%
dalteparin sodium (Generic),dalbavancin (Generic),Generic-to-Generic,0.7617,5,75%
Depo-Medrol (Brand),depemokimab (Generic),Brand-to-Generic,0.7617,7,75%
Travatan Z (Brand),trastuzumab (Generic),Brand-to-Generic,0.7617,8,75%
bremelanotide (Generic),bromocriptine mesylate (Generic),Generic-to-Generic,0.7615,7,75%
mogamulizumab (Generic),mosunetuzumab (Generic),Generic-to-Generic,0.7615,6,75%
insulin glulisine (Generic),incobotulinumtoxina (Generic),Generic-to-Generic,0.7613,13,75%
anagrelide hydrochloride (Generic),pancrelipase (Generic),Generic-to-Generic,0.7611,6,75%
pravastatin magnesium (Generic),prabotulinum toxin type a (Generic),Generic-to-Generic,0.7609,18,75%
Infed (Brand),Infasurf (Brand),Brand-to-Brand,0.7608,5,75%
Sprix (Brand),Spravato (Brand),Brand-to-Brand,0.7608,5,75%
Zomig (Brand),Zomacton (Brand),Brand-to-Brand,0.7608,5,75%
terlipressin (Generic),Tri-Lo-Sprintec (Brand),Generic-to-Brand,0.7608,9,75%
Methsuximide (Brand),methocarbamol (Generic),Brand-to-Generic,0.7603,9,75%
procarbazine hydrochloride (Generic),Premarin Vaginal (Brand),Generic-to-Brand,0.7603,9,75%
Proleukin (Brand),progesterone (Generic),Brand-to-Generic,0.7602,7,75%
Proglycem (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.7602,9,75%
Tradjenta (Brand),tralokinumab (Generic),Brand-to-Generic,0.7602,7,75%
metformin (Generic),methotrexate (Generic),Generic-to-Generic,0.7602,7,75%
metformin hydrochloride (Generic),methotrexate (Generic),Generic-to-Generic,0.7602,7,75%
temazepam (Generic),temozolomide (Generic),Generic-to-Generic,0.7602,7,75%
Triptodur (Brand),Tri-Estarylla (Brand),Brand-to-Brand,0.7602,8,75%
Hulio (Brand),Halog (Brand),Brand-to-Brand,0.76,3,75%
Hulio (Brand),Halog (Brand),Brand-to-Brand,0.76,3,75%
Duopa (Brand),Duvoid (Brand),Brand-to-Brand,0.76,3,75%
Coreg (Brand),Creon (Brand),Brand-to-Brand,0.76,3,75%
Elcys (Brand),Elspar (Brand),Brand-to-Brand,0.76,4,75%
Ontak (Brand),Onapgo (Brand),Brand-to-Brand,0.76,4,75%
Enoby (Brand),Enbrel (Brand),Brand-to-Brand,0.76,4,75%
Averi (Brand),Auvi-Q (Brand),Brand-to-Brand,0.76,4,75%
Nikki (Brand),niacin (Generic),Brand-to-Generic,0.76,3,75%
Syeda (Brand),Skyla (Brand),Brand-to-Brand,0.76,3,75%
Alora (Brand),Alinia (Brand),Brand-to-Brand,0.76,3,75%
