Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
oxytocin (Generic),Oxycontin (Brand),Generic-to-Brand,0.9157,3,50%
prilocaine hydrochloride (Generic),pilocarpine hydrochloride (Generic),Generic-to-Generic,0.9155,3,25%
Doptelet Sprinkle (Brand),Drizalma Sprinkle (Brand),Brand-to-Brand,0.9153,6,50%
dapagliflozin and sitagliptin (Generic),ertugliflozin and sitagliptin (Generic),Generic-to-Generic,0.9152,4,0%
irbesartan and hydrochlorothiazide (Generic),lisinopril and hydrochlorothiazide (Generic),Generic-to-Generic,0.9148,9,0%
epoetin alfa (Generic),thyrotropin alfa (Generic),Generic-to-Generic,0.9144,8,25%
fluconazole (Generic),luliconazole (Generic),Generic-to-Generic,0.9141,3,75%
natalizumab (Generic),satralizumab (Generic),Generic-to-Generic,0.9141,2,25%
Stiolto Respimat (Brand),Spiriva Respimat (Brand),Brand-to-Brand,0.9141,5,25%
cetuximab and hyaluronidase (Generic),nivolumab and hyaluronidase (Generic),Generic-to-Generic,0.9141,6,25%
phentermine hydrochloride (Generic),phentolamine mesylate (Generic),Generic-to-Generic,0.9136,3,75%
Lutrate Depot (Brand),Somatuline Depot (Brand),Brand-to-Brand,0.9136,8,0%
desogestrel and ethinyl estradiol (Generic),drospirenone and ethinyl estradiol (Generic),Generic-to-Generic,0.9135,9,50%
ethacrynic acid (Generic),tranexamic acid (Generic),Generic-to-Generic,0.9133,7,0%
trazodone hydrochloride oral (Generic),metronidazole oral (Generic),Generic-to-Generic,0.9132,8,0%
norgestrel and ethinyl estradiol (Generic),drospirenone and ethinyl estradiol (Generic),Generic-to-Generic,0.9127,10,50%
lithium carbonate (Generic),lanthanum carbonate (Generic),Generic-to-Generic,0.9126,4,25%
ethacrynic acid (Generic),mycophenolic acid (Generic),Generic-to-Generic,0.9119,9,0%
Humalog Kwikpen (Brand),Rezvoglar Kwikpen (Brand),Brand-to-Brand,0.9119,8,25%
Pristiq Extended-Release (Brand),Jornay Pm Extended-Release (Brand),Brand-to-Brand,0.9115,8,25%
darunavir and cobicistat (Generic),atazanavir and cobicistat (Generic),Generic-to-Generic,0.9112,4,0%
carbachol (Generic),Carbatrol (Brand),Generic-to-Brand,0.9111,2,75%
