ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_1245,sodium nitroprusside,Nipride Rtu,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Exela Pharma. Formulation: Solution for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1246,sodium oxybate,Lumryz,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Avadel Cns. Formulation: For Suspension, Extended Release for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1247,sodium phenylbutyrate,"Olpruva, Pheburane",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Medunik. Formulation: Pellets for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1248,sodium polystyrene sulfonate,Kionex,Potassium Binder [EPC],Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Ani Pharms. Formulation: Powder for Oral, Rectal administration.",Used as a therapeutic agent for indications related to: Potassium Binder [EPC].
RAW_1249,sodium thiosulfate,Pedmark,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Fennec Pharms Inc. Formulation: Solution for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1250,sodium zirconium cyclosilicate,Lokelma,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Astrazeneca. Formulation: For Suspension for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1251,sofosbuvir,Sovaldi,Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Gilead Sciences Inc. Formulation: Pellets for Oral administration.,Used as a therapeutic agent for indications related to: Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor [EPC].
RAW_1252,sofpironium bromide,Sofdra,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Botanix Sb. Formulation: Gel, Metered for Topical administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1253,solifenacin succiate,Solifenacin Succinate,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bostal. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1254,solriamfetol,Sunosi,Dopamine and Norepinephrine Reuptake Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Axsome Malta. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Dopamine and Norepinephrine Reuptake Inhibitor [EPC].
