name_id,name_type,display_name,normalized_name,formulation_ids
BRAND:BRAND_347722166588f6598596,brand,Acecef,acecef,FORM_23c1bbbdc228ab2351b7
BRAND:BRAND_eb00d45c04d97335cc7c,brand,Aceclav,aceclav,FORM_57f26fcfa00290de0ae3|FORM_bb210b2b1bf42eea0517
BRAND:BRAND_f9640b9141cc01a396b7,brand,Aceclo-X,aceclo-x,FORM_e9cfaf2a0e4e47eb75eb
BRAND:BRAND_e4bb2e9f09b0ab525f00,brand,Aceclomed,aceclomed,FORM_e9cfaf2a0e4e47eb75eb
BRAND:BRAND_9d38bd9a734f453b88f9,brand,Acecof,acecof,FORM_a4c9bc752d5db0f7660e
BRAND:BRAND_f352013e77c07254d870,brand,Acedocare,acedocare,FORM_e9cfaf2a0e4e47eb75eb
BRAND:BRAND_3fc95f48a2e75f83185d,brand,Acedrine,acedrine,FORM_4562bb4abc74731a30fa
BRAND:BRAND_604909c005758ab2674c,brand,Acefin,acefin,FORM_86e590362a6b90efeb9c
BRAND:BRAND_7906516d2864ae1c4be0,brand,ACEFLO,aceflo,FORM_c659083a3c9df23f76c4
BRAND:BRAND_a6360f1e761a7cbf36c2,brand,Aceformin,aceformin,FORM_196c7def5847da983300
BRAND:BRAND_4f31dd24f8b5590632b3,brand,Aceget,aceget,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_a34cca9e41a5b0915787,brand,Acellbia,acellbia,FORM_2e49eb3c34f7fa6a3d57
BRAND:BRAND_622c689cc4e36d843e0d,brand,Acentreza,acentreza,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_1bfd8638afb397b19787,brand,Aceprofen,aceprofen,FORM_a7f187a6f4f060d524a6
BRAND:BRAND_e9178b6257a33a616b39,brand,Acerblock,acerblock,FORM_7911aee5ca4c4f144b79
BRAND:BRAND_06e7c957b84ae3dfbb78,brand,Acetadol,acetadol,FORM_54238e9415df5dffbf4b
BRAND:BRAND_ab1336ecfbf62c680eef,brand,Acetafen,acetafen,FORM_201df9612ee17db7b903
BRAND:BRAND_e23458573354ff515922,brand,Acetaffein,acetaffein,FORM_bdc86a60cf508af285ad
BRAND:BRAND_e29b7cdf57cfd5f5595f,brand,Acetagen,acetagen,FORM_54238e9415df5dffbf4b
BRAND:BRAND_fc022de167506a4a9261,brand,Acetatree,acetatree,FORM_54238e9415df5dffbf4b
BRAND:BRAND_3d7832abde68f37e1b80,brand,Acetimax,acetimax,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_fc9ccaf0a097493bef33,brand,Acetor,acetor,FORM_a3f2788333abd5cdb2bf
BRAND:BRAND_8b5510eb33a428ce73cd,brand,Acetra,acetra,FORM_6343469638caf3ebeaa6
BRAND:BRAND_a5609d3ca321edd9ac4e,brand,Acetyl-West,acetyl-west,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_23f4cbe9aa24096401d0,brand,Acetylflux,acetylflux,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_e4dc3b5523c5d38b1922,brand,Acetylnium,acetylnium,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_c85dc57fa29593cafe7d,brand,Acetylnova,acetylnova,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_bafd34db5377dce2f284,brand,Acetylseth,acetylseth,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_41f5a9defa5879db1d75,brand,Acetyphil,acetyphil,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_0188eb5559ad8ea32953,brand,ACEVON,acevon,FORM_54238e9415df5dffbf4b
BRAND:BRAND_65aaf1752dd777aba8f6,brand,Acf-100,acf-100,FORM_e9cfaf2a0e4e47eb75eb
BRAND:BRAND_0f42fa9a69cf88f1b638,brand,ACF-Plus,acf-plus,FORM_ff3e7d4fd69e3bd06c9a
BRAND:BRAND_3b2f81c546912fc78fd2,brand,Acholine,acholine,FORM_d4322063426ef2d432db
BRAND:BRAND_e801d2c3d5600e2ac469,brand,Acicare,acicare,FORM_2f0fa861999d5ab7db81
BRAND:BRAND_8dfcf543801c7ddc766a,brand,Aciclogen,aciclogen,FORM_b99b91907f31a314764d
BRAND:BRAND_7d9b1814184a6866927d,brand,Aciclonova,aciclonova,FORM_b99b91907f31a314764d
BRAND:BRAND_24943626151fb88f9735,brand,Aciclospeed,aciclospeed,FORM_b99b91907f31a314764d
BRAND:BRAND_c23f9c57f2940fd2ed1a,brand,Acidem,acidem,FORM_a179ad154aaadd06ab44
BRAND:BRAND_f6e455f924c44d876348,brand,AcidNorm,acidnorm,FORM_c335f2c7c97eb5ae8dca
BRAND:BRAND_c4cd40485ccb192137b9,brand,Acidstop,acidstop,FORM_7911aee5ca4c4f144b79
BRAND:BRAND_4eea0360297990629cd7,brand,Aciflam,aciflam,FORM_a6cb06a77ec04139a75d
BRAND:BRAND_209dba68e7dc81872825,brand,Aciflux,aciflux,FORM_a3f2788333abd5cdb2bf
BRAND:BRAND_159a54c429676e2e54e9,brand,Acifre,acifre,FORM_798c6fe77221b47541b0|FORM_8eba038bd1cc1434682c|FORM_a179ad154aaadd06ab44
BRAND:BRAND_3ad51dafe64aecf8f868,brand,Aciherpin,aciherpin,FORM_b99b91907f31a314764d
BRAND:BRAND_bf30fcd101518e9be9c2,brand,Acilev,acilev,FORM_823e69efe622b6954a69
BRAND:BRAND_9fb9d5c8413e3c94d449,brand,Aciloc,aciloc,FORM_c5cc60aaf1d0a7f3c07c
BRAND:BRAND_0bdf9b219e2778555611,brand,ACIPRAZ,acipraz,FORM_a179ad154aaadd06ab44
BRAND:BRAND_1466965bf923d70096db,brand,Acipredex,acipredex,FORM_3c5348ea3d27f48ab779
BRAND:BRAND_d8d83f2be8af9562d49e,brand,Aciprex,aciprex,FORM_491fdf31d38777351710
BRAND:BRAND_6cf0c3dfb919c6d44c67,brand,Acipro,acipro,FORM_6036cad3024777ed5f64
BRAND:BRAND_763f8351ae55b7b0f5ec,brand,Acitrate,acitrate,FORM_178fe3e69d2b49a33039
BRAND:BRAND_53df79790c853f00556e,brand,Acitrate Plus,acitrate plus,FORM_178fe3e69d2b49a33039
BRAND:BRAND_9309e9808f18d7cdd8d0,brand,Aclasta,aclasta,FORM_bbbbabbb1b42050ed66d
BRAND:BRAND_5ed0c5d717037a467260,brand,Aclav,aclav,FORM_57f26fcfa00290de0ae3
BRAND:BRAND_014d4c490dba5f916b95,brand,Aclav-625,aclav-625,FORM_57f26fcfa00290de0ae3
BRAND:BRAND_d6e019dba43bebf1e0c4,brand,Aclir 400,aclir 400,FORM_738f79b71e1bf59434fa
BRAND:BRAND_c0aee7c4ed338d29c677,brand,Aclir 800,aclir 800,FORM_b99b91907f31a314764d
BRAND:BRAND_ce1da53759ce203d66f8,brand,Aclitel,aclitel,FORM_2662a983444a807e8a4f
BRAND:BRAND_bb19ebec437e8b0cab2a,brand,Aclor,aclor,FORM_39cfc96fb5a26c43bc1b
BRAND:BRAND_86a0089ce2bfac29436a,brand,Acnact-Forte,acnact-forte,FORM_e64dcbe6b0d5613248a0
BRAND:BRAND_e719f5d9857b588155e2,brand,Acne Drying Gel,acne drying gel,FORM_23c9808c4d4c4c062eb9
BRAND:BRAND_9b288a2a7e8dd124c64c,brand,Acnecare,acnecare,FORM_a9a86807c98a5e52b052
BRAND:BRAND_15f5f8b146d397ba5f88,brand,Acneclear,acneclear,FORM_80958304b67ddd7d906e
BRAND:BRAND_ba5e28d9587f8050bfba,brand,Acneclear-C,acneclear-c,FORM_48c2537184cbcfb60143
BRAND:BRAND_7d8771d198eb3cbe7b30,brand,Acnetrex 10,acnetrex 10,FORM_e67829c3acde78ae9430
BRAND:BRAND_6d28e6e5e1ca801ea4a0,brand,Acnetrex 20,acnetrex 20,FORM_e67829c3acde78ae9430
BRAND:BRAND_79b70eb6a329ae8166c1,brand,Acnex,acnex,FORM_48c2537184cbcfb60143
BRAND:BRAND_6afd25ccc83ed1e7efa3,brand,Acnoin Gel,acnoin gel,FORM_e67829c3acde78ae9430
BRAND:BRAND_08f447e777281de25135,brand,Acnoin-10,acnoin-10,FORM_e67829c3acde78ae9430
BRAND:BRAND_498bb5fcd0654401a405,brand,Acnoin-T,acnoin-t,FORM_a9a86807c98a5e52b052
BRAND:BRAND_17796f27455d9b3f333c,brand,Acode 100,acode 100,FORM_22349d78def3ee7d04c7
BRAND:BRAND_94d9873179d492223c8f,brand,Acode 150,acode 150,FORM_22349d78def3ee7d04c7
BRAND:BRAND_5bb2ae67a285b1ce155d,brand,Acode 200,acode 200,FORM_22349d78def3ee7d04c7
BRAND:BRAND_d465aa7716ab88741d1a,brand,Acode 50,acode 50,FORM_22349d78def3ee7d04c7
BRAND:BRAND_245a92971c7ce4be8ed0,brand,Acoreb,acoreb,FORM_b82d48f5c7858636464e
BRAND:BRAND_2bd6e00ccf9aed6b5f5d,brand,Acotril,acotril,FORM_76ac041cc910a9f18262
BRAND:BRAND_bb96ce7618df6071c2e5,brand,Acresil 150,acresil 150,FORM_5c77a449cbd587ef81bd
BRAND:BRAND_bd224cd8dff5534453ab,brand,Acresil 300,acresil 300,FORM_5c77a449cbd587ef81bd
BRAND:BRAND_32d40158b0f4dd20e6ce,brand,Acriptega,acriptega,FORM_0698bea14c4e6692af8b
BRAND:BRAND_d08aa52dffb301580b0c,brand,Acrocef,acrocef,FORM_b52c56d58e379a9f6fc2
BRAND:BRAND_6bdfbb5bff7bce5d0de2,brand,Acrolim 0.03,acrolim 0.03,FORM_897d7ca2c61108ed566d
BRAND:BRAND_048abffd40180ea5375a,brand,Acrolim 0.1,acrolim 0.1,FORM_897d7ca2c61108ed566d
BRAND:BRAND_56c37b5c17b885e3424c,brand,Acroxyn,acroxyn,FORM_9712d583cf8179255286
BRAND:BRAND_e7166faf5c3565210e67,brand,Actame,actame,FORM_e67829c3acde78ae9430
BRAND:BRAND_4ccc7d61c3c610bf54ea,brand,Actarb 40,actarb 40,FORM_65aeaf9dda5b365d8186
BRAND:BRAND_b4ea15563228eeafd265,brand,Actarb 80,actarb 80,FORM_65aeaf9dda5b365d8186
BRAND:BRAND_75a753e3d3c651e0449e,brand,Actazone,actazone,FORM_58f49def11899bb03e70
BRAND:BRAND_3f065f653e66dc62f9e1,brand,Actcee Plus,actcee plus,FORM_ce5a30a92f94232d4856
BRAND:BRAND_14ad1b06a557f7b4d8d7,brand,Actein,actein,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_17bd219090f616b70a30,brand,Acteine,acteine,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_f732adb7cfcc9021fbd2,brand,Acteinsaph-100,acteinsaph-100,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_5167d41ce5cb42a7b4a2,brand,Acteinsaph-200,acteinsaph-200,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_274613b202fafcf93098,brand,Acteinsaph-600,acteinsaph-600,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_a8d99f8f80cbfb291a42,brand,Actemra,actemra,FORM_85bf04378e5d30149f81
BRAND:BRAND_6d99512d7259702d793e,brand,Actib,actib,FORM_465e5e59808a763e19e0
BRAND:BRAND_d256b754e3fb8bfc9459,brand,Actibile,actibile,FORM_63bcf7c153e810fbcf8c
BRAND:BRAND_f5f6411418b7c50ac630,brand,Acticare Ob,acticare ob,FORM_1f2ed030044aeb1977bf
BRAND:BRAND_845955199461d5bd7241,brand,Actidin,actidin,FORM_36286c246e27ad1efba1
BRAND:BRAND_69a6c22e56d94638c028,brand,Actidin Junior,actidin junior,FORM_36286c246e27ad1efba1
BRAND:BRAND_c3ed491ba16fb16c48c4,brand,Actidin Quik,actidin quik,FORM_36286c246e27ad1efba1
BRAND:BRAND_a79803dd4faef6e1a58e,brand,Actiflor,actiflor,FORM_31c5209f21c82aea386f
BRAND:BRAND_72fe16b068e6a4a4fbae,brand,Actilyse,actilyse,FORM_ce8a72c8e537faed990c
BRAND:BRAND_27fa86df315a4c2a4dcd,brand,Actimax,actimax,FORM_23c1bbbdc228ab2351b7
BRAND:BRAND_a14cf8508b765d5a82a8,brand,Actinerve Forte,actinerve forte,FORM_8422fd717ccca8d76a04
BRAND:BRAND_d06c190558bf78b9b4d4,brand,Activarol,activarol,FORM_cf676b9749afd1e542e2
BRAND:BRAND_34e8affdec42afab01bd,brand,ActiveDerm,activederm,FORM_8fc99bf496ec630781a4
BRAND:BRAND_0e89ddaa5f5fc8667552,brand,Activent,activent,FORM_9881d33f402a54cd794c
BRAND:BRAND_c4c4cd4a7163e774e2a6,brand,Actonate,actonate,FORM_bdc5874bd3a88d59e47f
BRAND:BRAND_d893275452951fc336b3,brand,Actos,actos,FORM_58f49def11899bb03e70
