brand_id,brand_name_display,brand_name_normalized
BRAND_91da14d9ba8b881eb7af,Fortifer,fortifer
BRAND_b7d81c8318cfc9c3847f,Nozinan,nozinan
BRAND_ac9ddc3c9da2fe4651bd,Sumapen,sumapen
BRAND_33ef246a310e8c1bfe58,Burinex,burinex
BRAND_489c560106553687ad07,Diprosone,diprosone
BRAND_5ae8413b28c122e00994,Trimycin H Ointment,trimycin h ointment
BRAND_d47328cb5ed5e7d85aef,Fleet Enema,fleet enema
BRAND_73db6d90330fa696d2fb,Flammazine,flammazine
BRAND_a73acd0b47ae2b5f1154,Eltroxin,eltroxin
BRAND_8dc7056b0f836f36885d,Tranxene,tranxene
BRAND_64cdd99ba78a9012c258,Doxin,doxin
BRAND_3b6d77af72ce3b748809,Isoxilan,isoxilan
BRAND_a8af133b8a6923811cbd,Altussan,altussan
BRAND_968ef5635e99e937655e,Voltaren,voltaren
BRAND_cbbf8c3f1b743f07596d,Betaloc®,betaloc®
BRAND_ee453303672fde696e4c,Trihemic,trihemic
BRAND_ca59f4ff4e66757e7cc4,Scabiol Lotion,scabiol lotion
BRAND_17c9c78eb57ca0be31de,Tempra Forte,tempra forte
BRAND_19b1f173acc6368c3869,Terraferron,terraferron
BRAND_b91edcb8ec34da6fcdfc,Nubain,nubain
BRAND_84f19c0f3298be42a339,Supraneuron,supraneuron
BRAND_ebcbde7b4d4b316808fd,Flumol,flumol
BRAND_c44b6a9bd7874ffa844d,Antiox,antiox
BRAND_877fc8af1567a9c54216,Hyper B12,hyper b12
BRAND_f5b5a7b7d53dced908bb,APTGESIC,aptgesic
BRAND_f298d5a5462b81ee5d7d,Rogin-E,rogin-e
BRAND_22670e7f082b682802e0,Nootropil,nootropil
BRAND_077b026073cae00aa840,Lesopen Plain,lesopen plain
BRAND_0b07a58b86d1dc76492b,Cefalin,cefalin
BRAND_35c390decb8eb61dcba9,Lysiron,lysiron
BRAND_3d726e744c4effddc99c,AEKNIL,aeknil
BRAND_b36f24342f6c82d911d7,United Home Lormide,united home lormide
BRAND_41829a48d23e50fefd21,Diamicron,diamicron
BRAND_49ecb72c7232d4a03fd7,Neo-Synalar 25,neo-synalar 25
BRAND_90a59538b8a2b4500401,Pro-Iron,pro-iron
BRAND_5b85e2d4bec96a7c6605,Fluocinolone Acetonide,fluocinolone acetonide
BRAND_0962b15b58f657fa5b69,Aplosyn-25,aplosyn-25
BRAND_36432c68cfeb9017b7b5,Timoptol,timoptol
BRAND_fa6f58d306cc817e8a07,Glychlor,glychlor
BRAND_20a61179065ddd474b28,Aller CM,aller cm
BRAND_7e4b29ff83ff6217d59a,Aplosyn-10,aplosyn-10
BRAND_afe072154ef0d1ffe2fc,Flanax,flanax
BRAND_e003e3c6c28baf41488c,Syntemax Sterile Eye Drops,syntemax sterile eye drops
BRAND_90b050753728cd64278a,Lidemol,lidemol
BRAND_2da555451d39a0e272a3,Cynosal,cynosal
BRAND_2e186c8a4934f047bfee,CLOCEPHEN,clocephen
BRAND_ed9f3c26aa6be84b6e9e,Gemazel,gemazel
BRAND_d2412f518d42d26ab50c,DIPROSALIC,diprosalic
BRAND_a3751499a4b6acdedfa6,Pediamox,pediamox
BRAND_01c86bbe214e421517b8,Surmontil,surmontil
BRAND_26c47d0881d9356c50b8,Motilium,motilium
BRAND_23ce6932ad84f540a7f4,Mucobron,mucobron
BRAND_682f69b7589dc2603e2a,FRUSEMA,frusema
BRAND_eb3872b6c784e3c272f5,Mucosform,mucosform
BRAND_eb83ecb79c88c2a82d59,GUAIACOF,guaiacof
BRAND_814f060fc0417df9cbb1,Teramoxyl,teramoxyl
BRAND_cd1bd1460f06528b87bd,Froniplex,froniplex
BRAND_d1a1c34dc9d50a21c888,Faktu,faktu
