formulation_id,generic_name_display,generic_name_normalized,ingredient_count,component_split_method
FORM_27f4ec17d5a9426baf6c,Sunitinib,sunitinib,1,single
FORM_faf86251fedddfc7fcc3,yrazinamide,yrazinamide,1,single
FORM_d07a361a7e7c685a001b,Sodium Bicarbonate + Tartaric Acid + Citric Acid + Sodium Citrate,sodium bicarbonate + tartaric acid + citric acid + sodium citrate,4,explicit_plus
FORM_d8466561d38cef9b683a,Paracetamol + Phenylpropanolamine Hydrochloride + Dextromethorphan Hydrobromide,paracetamol + phenylpropanolamine hydrochloride + dextromethorphan hydrobromide,3,explicit_plus
FORM_6bdf97055a9097b01fc5,Thiamine Hydrochloride (Vitamin B1)+ Pyridoxine Hydrochloride (Vitamin B6) B + Cyanocobalamin. (Vitamin B12),thiamine hydrochloride (vitamin b1)+ pyridoxine hydrochloride (vitamin b6) b + cyanocobalamin. (vitamin b12),3,explicit_plus
FORM_ee98e1268a6660078b5a,Sitagliptin Phosphate + Metformin HCl,sitagliptin phosphate + metformin hcl,2,explicit_plus
FORM_2d49bf580ad2eec29785,Cefotaxime (as hydrochloride),cefotaxime (as hydrochloride),1,single
FORM_7bf41229d0916afe7d49,Nebivolol HCl,nebivolol hcl,1,single
FORM_2201d7478c528d68bf7d,Sitagliptin (as Phosphate) + Metformin HC1,sitagliptin (as phosphate) + metformin hc1,2,explicit_plus
FORM_b18b1f0f2966080769e8,Vincristine,vincristine,1,single
FORM_ebf4cbeb657973a47711,Methotrexate.,methotrexate.,1,single
FORM_9dfe1186fefc14d35030,Multivitamins + Iron (as Ferrous Sulfate),multivitamins + iron (as ferrous sulfate),2,explicit_plus
FORM_6251bcc7c2fbe7fac5fc,Sodium Bicarbonate.,sodium bicarbonate.,1,single
FORM_1f13170c37f010153bae,Irinotecan HC1,irinotecan hc1,1,single
FORM_bc238ff6cc7f1b8d7c16,Alendronic Acid (as Alendronate Sodium Trihydrate) + Cholecalciferol (Vitamin D3),alendronic acid (as alendronate sodium trihydrate) + cholecalciferol (vitamin d3),2,explicit_plus
FORM_2d4be853dbd5ce3be541,Ascorbic Acid.,ascorbic acid.,1,single
FORM_1ac7ab1e5f0ab82d1fa3,"Sugammadex (as sodium),","sugammadex (as sodium),",1,single
FORM_102325a89d97d17383ed,Desloratidine,desloratidine,1,single
FORM_d04287bf39a2923a1600,Multivitamins + Chlorella Growth Factor + Lysine + Taurine+Zinc,multivitamins + chlorella growth factor + lysine + taurine+zinc,5,explicit_plus
FORM_9716845cf54603fc83e5,Sultamicillin,sultamicillin,1,single
FORM_e3d3fa53c8aa9166ac93,Latanoprost Timolol (as maleate),latanoprost timolol (as maleate),1,single
FORM_e171e57b61bb9a786fc7,Erlotinib (as hydrochloride).,erlotinib (as hydrochloride).,1,single
FORM_9c5ef98c7f097ae767b2,Betahistine,betahistine,1,single
FORM_6cce1fe0a8d09e00830b,Alfuzosin HCl,alfuzosin hcl,1,single
FORM_2801c8062d36ecbe6791,Dyrogesterone,dyrogesterone,1,single
FORM_3d85b8b5dd92fd6633c6,Nifuroxazide,nifuroxazide,1,single
FORM_8f4b772f4e864f2893b4,Telmisartan + + Hydrochlorothiazide,telmisartan + + hydrochlorothiazide,2,explicit_plus
FORM_4c0b68950c349a4bab47,Luzelacetam,luzelacetam,1,single
FORM_21e88fed14a967bbde38,Dapiflozin M 10/1000,dapiflozin m 10/1000,2,explicit_slash
FORM_c6a65515d3681fbf1158,Dapagliflozin + Metformin hydrocloride in extended-release form),dapagliflozin + metformin hydrocloride in extended-release form),2,explicit_plus
