ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_3032c6fde52bf1f320be,"Human Papillomavrius Vaccine [Types 6, 11, 16, 18] (Recombinant, Adsorbed)","human papillomavrius vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)"
ING_a71564bec784437896f7,Tetanus and Diphtheria Toxoids Adsorbed combined with component Acellular Pertussis Vaccine,tetanus and diphtheria toxoids adsorbed combined with component acellular pertussis vaccine
ING_2c02bffc3ea074e797d7,"Rotavirus Vaccine, Live","rotavirus vaccine, live"
ING_dc8fd875e44a079188ad,"Human Papillomavirus Vaccine [Types 16, 18] (Recombinant, Adjuvanted, Adsorbed)","human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed)"
ING_dce28a49a202412882ee,Antithymocyte Immunoglobulin (ATG) (Equine),antithymocyte immunoglobulin (atg) (equine)
ING_326d4e6af07991471eb6,Purified Vero Cell Rabies Vaccine,purified vero cell rabies vaccine
ING_924f88f4668810b4c0f6,Epoetin alfa (Recombinant Human Erythropoietin),epoetin alfa (recombinant human erythropoietin)
ING_92505349b4c764bbc810,Human Normal Immunoglobulin (IGIV),human normal immunoglobulin (igiv)
ING_a915becd54dd5e59f1c0,Methoxy Polyethylene Glycol-Epoetin Beta,methoxy polyethylene glycol-epoetin beta
ING_04564e24ba992eb463c3,"Measles, Mumps, Rubella and Varicella Vaccine (Live, Attenuated)","measles, mumps, rubella and varicella vaccine (live, attenuated)"
ING_9316df66f26747501f6e,Inactivated Purified Rabies Vaccine (Vero-Cell),inactivated purified rabies vaccine (vero-cell)
ING_ac9f0174da1c0dae6c5e,"Diphtheria, Tetanus, Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type B Conjugate Vaccine, Adsorbed","diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and haemophilus influenzae type b conjugate vaccine, adsorbed"
ING_210462315d3a9a8eb276,Tetanus Toxoid,tetanus toxoid
ING_bdd7f87619d4b378d769,Purified Rabies Vaccine (Vero Cell),purified rabies vaccine (vero cell)
ING_3de3043f5f774bed98e8,Recombinant Hepatitis B Vaccine,recombinant hepatitis b vaccine
ING_eeec7b57cbffa792f32c,Recombinant Human Thrombopoietin,recombinant human thrombopoietin
ING_14f87b4e90c4af95350f,Live Attenuated Rotavirus Vaccine,live attenuated rotavirus vaccine
ING_29a775e4e5c075ca7181,Anti-Rabies Serum (Equine),anti-rabies serum (equine)
ING_fbc86147b5c45d67712a,HEPATITIS B VACCINE (RECOMBINANT DNA ),hepatitis b vaccine (recombinant dna )
ING_3ac4c177fdaa861a7240,Recombinant Human Erythropoietin Alfa,recombinant human erythropoietin alfa
ING_45172dacdc183f3d560e,Imiglucerase,imiglucerase
ING_95642347ff5dff437fcd,"Pneumococcal Vaccine, Polyvalent","pneumococcal vaccine, polyvalent"
ING_ad0073f86563be2f9231,Human Normal Immunoglobulin (IVIg),human normal immunoglobulin (ivig)
ING_0a341b236959d93afac3,Diphtheria and Tetanus Vaccine (Adsorbed),diphtheria and tetanus vaccine (adsorbed)
ING_0c36608ed807cffce6a7,"Meningococcal (Groups A, Polysaccharide Diphtheria Toxoid Conjugate Vaccine","meningococcal (groups a, polysaccharide diphtheria toxoid conjugate vaccine"
ING_cee6b2915542c057131d,Albumin,albumin
ING_dae20e4e49f48688b901,"Human Papillomavirus Vaccine [Types 16 and 18] (Recombinant, adjuvanted, adsorbed)","human papillomavirus vaccine [types 16 and 18] (recombinant, adjuvanted, adsorbed)"
ING_994a55d09d6026a8622d,Enoxaparin (as sodium),enoxaparin (as sodium)
ING_31d7654b143571f54757,Tetanus Antitoxin (Equine),tetanus antitoxin (equine)
ING_ff094a0fa58d5902e5f7,"Diphtheria, Tetanus, Pertussis (Whole-Cell), Recombinant Hepatitis B, Haemophilus Influenzae Type B Combined Vaccine","diphtheria, tetanus, pertussis (whole-cell), recombinant hepatitis b, haemophilus influenzae type b combined vaccine"
ING_618fa4dd4d7d477d7bd9,Denosumab,denosumab
ING_461775b3c42085cc6353,Measles and Rubella Vaccine (Live),measles and rubella vaccine (live)
ING_dd8d2e54d3afc8c229d2,Interferon-Beta 1B,interferon-beta 1b
ING_ca4f8c23d6a93676fd5d,"Bacillus Calmette-Guerin Vaccine (Live, Attenuated)","bacillus calmette-guerin vaccine (live, attenuated)"
ING_01997dc4c07d2ebc4616,Human Rabies Immunoglobulin,human rabies immunoglobulin
ING_4b0924bb04f80e915611,Filgrastim (Recombinant Granulocyte Colony-Stimulating Factor [Rhu-Gcsf]),filgrastim (recombinant granulocyte colony-stimulating factor [rhu-gcsf])
ING_d92e5665611079991965,"Live Measles, Mumps and Rubella Vaccine","live measles, mumps and rubella vaccine"
ING_a9938cdd047fc3e8a0c6,Recombinant Human Epidermal Growth Factor,recombinant human epidermal growth factor
ING_f63dfb9c811079f8a126,Alglucosidase alfa,alglucosidase alfa
ING_4d6686aa95e57d2d4efd,Human Norml Immunoglobulin,human norml immunoglobulin
ING_020e4681a23cfdaf85fb,"Trivalent Seasonal Influenza Vaccine (Surface Antigen, Inactivated) 2026 Southern Hemisphere Strain","trivalent seasonal influenza vaccine (surface antigen, inactivated) 2026 southern hemisphere strain"
ING_69ab296ffdb291e0987a,"LIVE ATTENUATED MEASLES, MUMPS and RUBELLA VACCINE","live attenuated measles, mumps and rubella vaccine"
ING_0ebf41ec93332058e048,Aflibercept,aflibercept
ING_58903b29d3585d9706a1,Choriogonadotropin Alfa,choriogonadotropin alfa
ING_379a4b22e0360f3a69ba,"Diphtheria, Tetanus, Pertussis (Acellular Component) Hepatitis B, Poliomyelitis (Inactivated) and Haemophilus influenza Type B Conjugate Vaccine (Adsorbed)","diphtheria, tetanus, pertussis (acellular component) hepatitis b, poliomyelitis (inactivated) and haemophilus influenza type b conjugate vaccine (adsorbed)"
ING_e575a5537f43842852d9,Filgrastim (Recombinant Human Granulocyte Colony Stimulating Factor),filgrastim (recombinant human granulocyte colony stimulating factor)
ING_0fefcb929cb2055131e9,Human Rabie Immunoglobulin,human rabie immunoglobulin
ING_f2a3c6e7f179f4a9e0a2,"Japanese Encephalitis Vaccine (Live, Attenuated)","japanese encephalitis vaccine (live, attenuated)"
ING_d3515f028838b7dcff36,"Meningococcal Group A, C, W-135 And Y Conjugate","meningococcal group a, c, w-135 and y conjugate"
ING_cf2f351c289b4700958e,"Poliomyelitis Vaccine (Type 1, 2 and 3) (Inactivated)","poliomyelitis vaccine (type 1, 2 and 3) (inactivated)"
ING_f5f7b4329e7383da3a63,Trastuzumab Emtansine,trastuzumab emtansine
ING_ff50a9cea02d644a7aea,"Varicella Virus Vaccine, Live","varicella virus vaccine, live"
ING_a1defab315accfe2bd87,Insulin Lispro (rDNA),insulin lispro (rdna)
ING_43644a1bc759b15c7e3b,Clostridium botulinum Type A Toxin,clostridium botulinum type a toxin
ING_a385b78f067c0e604598,Human Chorionic Gonadotropin,human chorionic gonadotropin
ING_a01ef8671d6f365bee6f,Recombinant Human Insulin (70% Isophane,recombinant human insulin (70% isophane
ING_04c3b7a9ce6482d6b976,30% Soluble),30% soluble)
ING_7eba2650b7a776c5fde5,Omalizumab,omalizumab
ING_1ca88cfa41606b28145f,Insulin Lispro,insulin lispro
ING_9525017c5f0ae6e12f39,Isophane Insulin,isophane insulin
